Date,City,PM2.5,PM10,NO2,O3,SO2,CO,Temperature,Humidity,Wind_Speed
2024-01-01T00:00,Delhi,88.9,128.1,35.6,31.0,28.1,1315.0,6.4,100.0,3.8
2024-01-01T01:00,Delhi,87.8,126.2,36.3,27.0,31.0,1393.0,10.1,88.0,4.0
2024-01-01T02:00,Delhi,91.5,131.8,37.1,24.0,35.0,1497.0,10.4,87.0,4.0
2024-01-01T03:00,Delhi,93.1,134.1,37.3,31.0,37.8,1548.0,11.2,85.0,5.8
2024-01-01T04:00,Delhi,95.2,136.9,36.7,59.0,37.4,1514.0,11.8,80.0,5.8
2024-01-01T05:00,Delhi,91.7,131.8,35.5,98.0,35.8,1427.0,12.8,72.0,4.7
2024-01-01T06:00,Delhi,87.3,125.7,33.2,132.0,37.2,1304.0,13.7,70.0,3.3
2024-01-01T07:00,Delhi,75.7,109.9,27.6,161.0,45.4,1104.0,14.8,67.0,3.4
2024-01-01T08:00,Delhi,62.9,92.0,21.0,184.0,56.5,867.0,15.6,62.0,4.8
2024-01-01T09:00,Delhi,57.5,85.0,19.7,192.0,63.8,730.0,16.1,62.0,6.4
2024-01-01T10:00,Delhi,56.6,83.8,27.5,173.0,62.2,742.0,16.2,62.0,7.7
2024-01-01T11:00,Delhi,57.4,85.0,40.6,138.0,56.7,854.0,15.6,66.0,8.2
2024-01-01T12:00,Delhi,91.5,136.0,50.8,90.0,49.9,970.0,13.1,80.0,5.6
2024-01-01T13:00,Delhi,104.3,153.7,58.1,71.0,57.6,1223.0,10.5,90.0,6.1
2024-01-01T14:00,Delhi,116.2,170.4,68.2,45.0,68.5,1580.0,9.6,93.0,5.9
2024-01-01T15:00,Delhi,129.9,189.5,76.1,24.0,77.9,1900.0,8.9,93.0,6.0
2024-01-01T16:00,Delhi,142.5,207.7,80.8,14.0,86.4,2176.0,7.9,95.0,5.7
2024-01-01T17:00,Delhi,153.2,222.6,83.3,11.0,93.5,2415.0,7.1,96.0,6.5
2024-01-01T18:00,Delhi,154.1,223.1,81.9,10.0,93.4,2503.0,6.5,97.0,7.0
2024-01-01T19:00,Delhi,141.6,204.9,74.3,13.0,80.6,2339.0,5.7,98.0,8.2
2024-01-01T20:00,Delhi,127.6,184.4,62.9,18.0,60.7,2024.0,5.4,99.0,7.9
2024-01-01T21:00,Delhi,114.8,165.8,52.4,24.0,44.5,1747.0,4.8,100.0,7.7
2024-01-01T22:00,Delhi,105.0,151.3,44.1,29.0,36.1,1559.0,4.6,100.0,6.4
2024-01-01T23:00,Delhi,97.6,140.6,36.9,33.0,31.3,1410.0,4.7,100.0,4.9
2024-01-02T00:00,Delhi,90.6,129.9,28.2,44.0,25.1,1246.0,4.7,100.0,4.3
2024-01-02T01:00,Delhi,79.4,114.6,26.3,54.0,26.4,1200.0,7.6,93.0,6.1
