Timestamp,City,Temperature,Humidity,Pressure,Wind_Speed,AQI,PM2.5,PM10,CO,NO2,SO2,O3,NH3,Hour,Day,Month,Weekday,AQI_Change,AQI_Moving_Average_3H,AQI_Lag_1,AQI_Lag_2,AQI_Lag_3
2024-01-01 03:00:00+00:00,Karachi,15.2,66,1018.4,3.62,5,271.94,323.95,2723.69,69.23,28.85,46.49,33.44,3,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 04:00:00+00:00,Karachi,17.6,57,1019.0,3.32,5,298.78,360.56,3417.97,93.22,33.38,28.97,40.02,4,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 05:00:00+00:00,Karachi,20.6,48,1019.3,4.03,5,298.66,364.62,3417.97,85.68,35.76,42.2,40.02,5,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 06:00:00+00:00,Karachi,23.3,39,1018.6,4.17,5,285.57,350.37,2937.32,67.86,38.15,75.82,34.96,6,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 07:00:00+00:00,Karachi,25.1,31,1017.4,3.89,5,221.74,275.84,1842.5,39.41,35.76,124.45,18.75,7,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 08:00:00+00:00,Karachi,26.2,26,1015.9,3.58,5,197.2,247.12,1588.82,33.24,35.29,141.62,15.2,8,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 09:00:00+00:00,Karachi,26.9,25,1015.0,3.11,5,192.15,241.37,1575.47,34.27,36.72,147.34,14.57,9,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 10:00:00+00:00,Karachi,27.0,25,1014.5,1.78,5,234.4,292.47,2536.77,72.66,43.39,121.59,27.36,10,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 11:00:00+00:00,Karachi,26.4,26,1014.2,0.67,5,300.16,372.69,4058.84,138.46,55.79,72.96,48.13,11,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 12:00:00+00:00,Karachi,24.6,45,1014.5,3.98,5,333.92,417.44,4913.33,191.93,63.9,28.97,58.77,12,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 13:00:00+00:00,Karachi,23.7,39,1015.4,1.63,5,346.37,437.44,5500.79,219.35,68.66,2.19,62.82,13,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 14:00:00+00:00,Karachi,21.9,54,1016.2,0.85,5,378.47,476.61,6515.5,222.09,73.43,0.0,74.98,14,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 15:00:00+00:00,Karachi,20.7,57,1016.8,1.3,5,441.24,550.85,7690.43,222.09,80.11,0.0,97.27,15,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 16:00:00+00:00,Karachi,19.9,53,1017.4,2.14,5,529.14,654.08,8972.17,213.86,88.69,0.0,127.67,16,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 17:00:00+00:00,Karachi,19.0,53,1017.5,2.3,5,612.08,743.89,10040.28,197.41,91.55,0.0,149.97,17,1,1,0,0.0,5.0,5.0,5.0,5.0
2024-01-01 18:00:00+00:00,Karachi,18.1,57,1017.3,2.62,5,562.69,681.81,8544.92,153.54,75.34,0.0,127.67,18,1,1,0,0.0,5.0,5.0,5.0,5.0
